entry_timestamp,exit_timestamp,timestamp,entry_price,exit_price,quantity,pnl,reason,equity,duration_days,duration_hours,price_change,price_change_pct,r_multiple,journal_entry_date,current_streak,setup_type,market_condition,entry_reasoning,exit_reasoning,trade_plan,execution_quality,emotional_state,mistakes_made,lessons_learned,confluence_factors,risk_reward_planned,risk_reward_actual,notes,tags,performance_rating,review_date,screenshot_path
2016-11-16,2017-03-21,2017-03-21,2176.94,2348.0408,1,8555.040000000008,STOP LOSS,108555.04000000001,125,3000.0,171.10080000000016,7.859692963517606,5.239795309011737,2026-01-31 11:08:46,1,EMA Crossover,Trending Up,Clean EMA 20/50 crossover with strong momentum,Hit profit target as price continued higher,,8,,,,,,,Good trade - followed plan perfectly,,9,2026-01-31 11:08:46,
2018-05-14,2018-05-29,2018-05-29,2730.13,2689.17805,1,-2047.5975000000062,STOP LOSS,106507.4425,15,360.0,-40.951950000000124,-1.5000000000000044,-1.000000000000003,2026-01-31 11:08:46,-1,EMA Crossover,Choppy,EMA crossover but lower conviction,Stopped out as market reversed quickly,,6,,Entered despite choppy market conditions,Avoid trading in choppy conditions even with signals,,,,,,5,2026-01-31 11:08:46,
2019-02-04,2019-03-07,2019-03-07,2724.87,2747.6162,1,1137.3100000000022,STOP LOSS,107644.7525,31,744.0,22.746200000000044,0.8347627593242997,0.5565085062161998,2026-01-31 11:08:46,1,,,,,,,,,,,,,,,,,
2019-06-12,2019-08-01,2019-08-01,2879.84,2965.3428,1,4275.139999999988,STOP LOSS,111919.89249999999,50,1200.0,85.50279999999975,2.9690121673426213,1.979341444895081,2026-01-31 11:08:46,2,,,,,,,,,,,,,,,,,
2019-09-09,2019-10-01,2019-10-01,2978.43,2933.75355,1,-2233.8224999999966,STOP LOSS,109686.06999999999,22,528.0,-44.67644999999993,-1.4999999999999978,-0.9999999999999986,2026-01-31 11:08:46,-1,,,,,,,,,,,,,,,,,
2020-05-11,2020-05-12,2020-05-12,2930.32,2886.3652,1,-2197.739999999999,STOP LOSS,107488.32999999999,1,24.0,-43.95479999999998,-1.4999999999999991,-0.9999999999999996,2026-01-31 11:08:46,-2,,,,,,,,,,,,,,,,,
2021-10-18,2021-11-26,2021-11-26,4486.46,4610.4492,1,6199.459999999999,STOP LOSS,113687.78999999998,39,936.0,123.98919999999998,2.7636310142071916,1.842420676138128,2026-01-31 11:08:46,1,,,,,,,,,,,,,,,,,
2022-03-30,2022-03-31,2022-03-31,4602.45,4533.41325,1,-3451.8375000000106,STOP LOSS,110235.95249999997,1,24.0,-69.03675000000021,-1.5000000000000047,-1.000000000000003,2026-01-31 11:08:46,-1,,,,,,,,,,,,,,,,,
2022-08-03,2022-08-19,2022-08-19,4155.17,4219.096,1,3196.299999999974,STOP LOSS,113432.25249999994,16,384.0,63.925999999999476,1.5384689435089172,1.0256459623392782,2026-01-31 11:08:46,1,,,,,,,,,,,,,,,,,
2022-09-12,2022-09-13,2022-09-13,4110.41,4048.7538499999996,1,-3082.8075000000126,STOP LOSS,110349.44499999993,1,24.0,-61.65615000000025,-1.5000000000000062,-1.0000000000000042,2026-01-31 11:08:46,-1,,,,,,,,,,,,,,,,,
2022-11-15,2022-11-17,2022-11-17,3991.73,3931.85405,1,-2993.797500000005,STOP LOSS,107355.64749999993,2,48.0,-59.8759500000001,-1.5000000000000024,-1.0000000000000018,2026-01-31 11:08:46,-2,,,,,,,,,,,,,,,,,
2023-01-12,2023-01-18,2023-01-18,3983.17,3923.42245,1,-2987.3775000000023,STOP LOSS,104368.26999999993,6,144.0,-59.74755000000005,-1.500000000000001,-1.0000000000000007,2026-01-31 11:08:46,-3,,,,,,,,,,,,,,,,,
2023-03-31,2023-04-26,2023-04-26,4109.31,4047.6703500000003,1,-3081.9825000000037,STOP LOSS,101286.28749999993,26,624.0,-61.639650000000074,-1.5000000000000018,-1.000000000000001,2026-01-31 11:08:46,-4,,,,,,,,,,,,,,,,,
2023-11-15,2024-01-03,2024-01-03,4502.88,4687.683,1,9240.149999999994,STOP LOSS,110526.43749999993,49,1176.0,184.80299999999988,4.104106705042104,2.736071136694736,2026-01-31 11:08:46,1,,,,,,,,,,,,,,,,,
2024-08-15,2024-09-03,2024-09-03,5543.22,5535.432,1,-389.4000000000233,STOP LOSS,110137.0374999999,19,456.0,-7.788000000000466,-0.14049595722342725,-0.09366397148228485,2026-01-31 11:08:46,-1,,,,,,,,,,,,,,,,,
2025-05-14,2025-05-23,2025-05-23,5892.58,5804.1912999999995,1,-4419.435000000021,STOP LOSS,105717.60249999988,9,216.0,-88.38870000000043,-1.5000000000000073,-1.0000000000000047,2026-01-31 11:08:46,-2,,,,,,,,,,,,,,,,,
